index,name,x,y,total_roughness,n_notes
106,Struct_0|8|19,-2.143624,0.747294,4.310869,3
107,Struct_0|8|20,-0.729341,1.043340,3.611492,3
108,Struct_0|9|10,-0.010734,3.609462,7.059262,3
109,Struct_0|9|11,2.829839,0.610251,6.369746,3
110,Struct_0|9|12,0.860053,-1.953279,4.086179,3
111,Struct_0|9|13,-1.919237,1.877052,5.501405,3
112,Struct_0|9|14,1.895843,-0.327662,4.808526,3
113,Struct_0|9|15,1.158490,-1.766630,5.043554,3
114,Struct_0|9|16,-0.456461,0.255249,3.594888,3
115,Struct_0|9|17,-1.153793,1.201794,4.904462,3
116,Struct_0|9|18,0.904458,0.077616,4.464508,3
117,Struct_0|9|19,0.855145,-0.533873,3.550895,3
118,Struct_0|9|20,-1.781956,0.583192,4.879555,3
119,Struct_0|9|21,0.372023,0.059053,2.922736,3
120,Struct_0|10|11,-0.622457,3.632864,7.191510,3
121,Struct_0|10|12,2.547521,-0.479913,4.720546,3
122,Struct_0|10|13,1.369941,-1.959568,5.864447,3
123,Struct_0|10|14,2.028085,-1.092566,5.443676,3
124,Struct_0|10|15,0.176863,-2.178871,4.738541,3
125,Struct_0|10|16,-0.038356,-1.942839,4.790544,3
126,Struct_0|10|17,0.014237,-1.587330,4.154406,3
127,Struct_0|10|18,0.781687,1.228880,5.090292,3
128,Struct_0|10|19,0.821682,-0.846004,3.456688,3
129,Struct_0|10|20,0.264342,0.790296,4.716491,3
130,Struct_0|10|21,0.051166,0.814669,4.807686,3
131,Struct_0|10|22,0.432775,-0.703980,2.978035,3
132,Struct_0|11|12,-0.914439,3.020578,5.297284,3
133,Struct_0|11|13,1.783859,2.262543,6.189657,3
134,Struct_0|11|14,1.921009,-1.600516,5.486909,3
135,Struct_0|11|15,-2.198487,-1.305845,5.065908,3
136,Struct_0|11|16,-1.918365,-0.732249,4.166126,3
137,Struct_0|11|17,-1.679611,-1.484125,5.028597,3
138,Struct_0|11|18,-1.416483,-0.827729,4.037304,3
139,Struct_0|11|19,-1.785417,0.286516,3.779640,3
140,Struct_0|11|20,-1.627866,0.338346,4.319223,3
141,Struct_0|11|21,-1.225614,-0.533790,4.297284,3
142,Struct_0|11|22,-1.425186,-0.456207,4.532378,3
143,Struct_0|11|23,-1.014116,-0.164129,2.897293,3
144,Struct_0|12|13,-0.291826,2.600864,5.116508,3
145,Struct_0|12|14,2.019638,0.125562,4.098520,3
146,Struct_0|12|15,0.386789,-1.477714,3.385886,3
147,Struct_0|12|16,-0.799966,-0.343696,2.782248,3
148,Struct_0|12|17,-0.328768,-0.682944,2.683104,3
149,Struct_0|12|18,0.671583,0.345020,3.186395,3
150,Struct_0|12|19,-0.069784,-0.088252,1.022564,3
151,Struct_0|12|20,-0.527830,0.740436,2.936312,3
152,Struct_0|12|21,0.175747,0.035956,2.195818,3
153,Struct_0|12|22,0.252954,-0.479259,2.274240,3
154,Struct_0|12|23,-0.825992,-0.116395,2.717374,3
155,Struct_0|12|24,-0.057477,-0.020042,0.433664,3
