index,name,x,y,total_roughness,n_notes
92,Struct_0|8|17,-0.169004,-1.623180,4.922496,3
93,Struct_0|8|18,2.453841,-0.056889,5.200409,3
94,Struct_0|8|19,1.581012,-1.764921,4.310869,3
95,Struct_0|8|20,0.404278,-1.221789,3.611492,3
96,Struct_0|9|10,-3.348414,1.281187,7.059262,3
97,Struct_0|9|11,1.285366,2.720962,6.369746,3
98,Struct_0|9|12,-1.135359,-1.859484,4.086179,3
99,Struct_0|9|13,-2.230606,-0.233479,5.501405,3
100,Struct_0|9|14,0.209868,1.848472,4.808526,3
101,Struct_0|9|15,-0.743994,-1.949818,5.043554,3
102,Struct_0|9|16,-0.509408,-0.731711,3.594888,3
103,Struct_0|9|17,-1.053489,-0.794754,4.904462,3
104,Struct_0|9|18,-0.114145,-0.566235,4.464508,3
105,Struct_0|9|19,-0.715633,-0.074714,3.550895,3
106,Struct_0|9|20,0.776810,-1.643658,4.879555,3
107,Struct_0|9|21,-0.426524,-0.354238,2.922736,3
108,Struct_0|10|11,-2.957389,1.884038,7.191510,3
109,Struct_0|10|12,1.417378,2.204376,4.720546,3
110,Struct_0|10|13,-2.469521,-0.818533,5.864447,3
111,Struct_0|10|14,1.798693,1.627502,5.443676,3
112,Struct_0|10|15,-1.326489,-1.049564,4.738541,3
113,Struct_0|10|16,2.152696,0.347478,4.790544,3
114,Struct_0|10|17,-0.187790,1.032746,4.154406,3
115,Struct_0|10|18,2.030425,0.504567,5.090292,3
116,Struct_0|10|19,0.181558,0.772281,3.456688,3
117,Struct_0|10|20,0.769310,0.582328,4.716491,3
118,Struct_0|10|21,1.269234,0.559924,4.807686,3
119,Struct_0|10|22,0.384113,0.498696,2.978035,3
120,Struct_0|11|12,-2.430574,1.633103,5.297284,3
121,Struct_0|11|13,-0.570867,2.792315,6.189657,3
122,Struct_0|11|14,1.382197,1.314189,5.486909,3
123,Struct_0|11|15,0.997877,-2.399891,5.065908,3
124,Struct_0|11|16,1.588194,-1.114612,4.166126,3
125,Struct_0|11|17,2.328904,-0.863142,5.028597,3
126,Struct_0|11|18,1.899117,-0.644813,4.037304,3
127,Struct_0|11|19,1.420255,-1.294579,3.779640,3
128,Struct_0|11|20,1.196420,-1.225103,4.319223,3
129,Struct_0|11|21,1.254253,-0.234936,4.297284,3
130,Struct_0|11|22,1.395741,-0.534937,4.532378,3
131,Struct_0|11|23,0.957660,-0.500401,2.897293,3
132,Struct_0|12|13,-2.244571,1.066586,5.116508,3
133,Struct_0|12|14,0.877409,1.838970,4.098520,3
134,Struct_0|12|15,-0.641397,-1.452951,3.385886,3
135,Struct_0|12|16,0.505461,-0.660211,2.782248,3
136,Struct_0|12|17,-0.247569,0.162608,2.683104,3
137,Struct_0|12|18,1.123715,0.101593,3.186395,3
138,Struct_0|12|19,0.177642,-0.086853,1.022564,3
139,Struct_0|12|20,0.328944,-0.824036,2.936312,3
140,Struct_0|12|21,-0.139720,-0.256609,2.195818,3
141,Struct_0|12|22,0.314255,0.260794,2.274240,3
142,Struct_0|12|23,0.811341,-0.400452,2.717374,3
143,Struct_0|12|24,0.231020,-0.124535,0.433664,3
