seeds,nn_hit_top1_mean,nn_hit_top1_std,nn_hit_top2_mean,nn_hit_top2_std,mixture_l1_mean_mean,mixture_l1_mean_std,mixture_l1_max_mean,mixture_l1_max_std,trustworthiness_mean,trustworthiness_std,continuity_mean,continuity_std,knn_recall_mean,knn_recall_std,rank_corr_mean,rank_corr_std,stress_mean,stress_std,shepard_slope_mean,shepard_slope_std,shepard_intercept_mean,shepard_intercept_std,shepard_r2_mean,shepard_r2_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,kl_divergence_mean,kl_divergence_std,relative_rank_error_mean,relative_rank_error_std,var_ratio_dim1_mean,var_ratio_dim1_std,var_ratio_dim2_mean,var_ratio_dim2_std,cardinality_logreg_acc_mean,cardinality_logreg_acc_std,embedding_mem_kb_mean,embedding_mem_kb_std,knn_hit_card_2_mean,knn_hit_card_2_std,knn_hit_card_3_mean,knn_hit_card_3_std,knn_hit_card_4_mean,knn_hit_card_4_std,knn_hit_card_5_mean,knn_hit_card_5_std,scenario,description,metric,preproc_id,figure_seed,reduction,hyperparams,runtime_seconds,runtime_seconds_per_seed,rank
[42],0.9382716049382716,0.0,0.8765432098765432,0.0,0.3201467348068969,0.0,1.393052653669679,0.0,0.9060375443937088,0.0,0.9093860984271943,0.0,0.5506172839506173,0.0,0.8258438638594623,0.0,0.2626257882604539,0.0,1.335618185809739,0.0,-2.1478896658925315,0.0,0.6865711806173714,0.0,0.11354922980620312,0.0,2.2157994932201652,0.0,,,0.3799225976686306,0.0,0.561665304789532,0.0,0.438334695210468,0.0,0.6419117647058823,0.0,1.265625,0.0,0.7222222222222222,0.0,0.41666666666666674,0.0,0.5416666666666666,0.0,0.6222222222222222,0.0,MDS:perclass_alpha0_75 | euclidean,Media por clase exponente 0.75,euclidean,perclass_alpha0_75,42,MDS,{'n_init': 4},2.2199517991393805,2.2199517991393805,1
[42],0.9506172839506173,0.0,0.8024691358024691,0.0,0.3201467348068969,0.0,1.393052653669679,0.0,0.9225435481143244,0.0,0.92606122103839,0.0,0.5777777777777777,0.0,0.24112110665371192,0.0,0.2664080414755177,0.0,0.8977835663301068,0.0,0.025137993415097037,0.0,0.6624276196583861,0.0,-0.11073882690036407,0.0,11.877901727620841,0.0,,,0.5104857424641437,0.0,0.5112099689522014,0.0,0.4887900310477988,0.0,0.19632352941176473,0.0,1.265625,0.0,0.4166666666666667,0.0,0.3333333333333333,0.0,0.5069444444444444,0.0,0.6222222222222222,0.0,MDS:perclass_alpha0_75 | cosine,Media por clase exponente 0.75,cosine,perclass_alpha0_75,42,MDS,{'n_init': 4},0.3037047013640404,0.3037047013640404,2
