quality,r_total_base,r_total_robusto,rank_base,rank_robusto
Sus4,6.442560228832521,6.365642254028899,1,1
Menor,6.64399467439887,6.581988420492382,3,2
Mayor,6.521474298077395,6.586060263305411,2,3
Aumentada,7.1278648661897535,7.1278648661897535,4,4
Disminuida,8.01156409717813,7.225912774493779,5,5
