quality,r_total_fund,r_total_inv1,r_total_inv2,r_total_mean
Sus4,6.442560228832521,6.708273787121724,5.94609274613245,6.365642254028899
Menor,6.64399467439887,6.258774918829835,6.843195668248441,6.581988420492382
Mayor,6.521474298077395,7.051078420129738,6.1856280717090995,6.586060263305411
Aumentada,7.1278648661897535,7.1278648661897535,7.1278648661897535,7.1278648661897535
Disminuida,8.01156409717813,7.016080252240616,6.65009397406259,7.225912774493779
