k,tones,rating,scalar_roughness,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
2,0_1,1.31666666666667,2.9615763495651417,2.9615763495651417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0_2,1.83666666666667,2.1545838813544824,0.0,2.1545838813544824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0_3,2.69333333333333,1.665849098842042,0.0,0.0,1.665849098842042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0_4,3.17333333333333,1.4822963848990902,0.0,0.0,0.0,1.4822963848990902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0_5,2.95,1.0049376991456713,0.0,0.0,0.0,0.0,1.0049376991456713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0_6,1.95333333333333,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
2,0_7,3.44666666666667,0.5169342303997502,0.0,0.0,0.0,0.0,0.0,0.0,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
2,0_8,2.47666666666667,1.4330393649080009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4330393649080009,0.0,0.0,0.0,0.0
2,0_9,2.71333333333333,0.9704542761701506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9704542761701506,0.0,0.0,0.0
2,0_10,1.75333333333333,1.218846117775732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.218846117775732,0.0,0.0
2,0_11,1.75333333333333,1.6576629848840672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6576629848840672,0.0
2,0_12,3.89333333333333,0.03947148929715851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03947148929715851
3,0_1_2,1.06666666666667,8.051140987967852,5.896557106613369,2.1545838813544824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0_1_3,1.66666666666667,6.695320104715808,2.9615763495651417,2.067894656308624,1.665849098842042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0_1_4,1.5,6.027986680273958,2.9615763495651417,0.0,1.5841139458097262,1.4822963848990902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0_1_5,2.1,5.381415047084033,2.9615763495651417,0.0,0.0,1.41490099837322,1.0049376991456713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0_1_6,1.8,5.402436239327952,2.9615763495651417,0.0,0.0,0.0,0.94057292202975,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
3,0_1_7,1.4,4.924367690764861,2.9615763495651417,0.0,0.0,0.0,0.0,1.4458571107999683,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
3,0_1_8,1.46666666666667,4.873640079320198,2.9615763495651417,0.0,0.0,0.0,0.0,0.0,0.47902436484705535,1.4330393649080009,0.0,0.0,0.0,0.0
3,0_1_9,1.26666666666667,5.319047255575666,2.9615763495651417,0.0,0.0,0.0,0.0,0.0,0.0,1.3870166298403737,0.9704542761701506,0.0,0.0,0.0
3,0_1_10,1.16666666666667,5.100816775003615,2.9615763495651417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9203943076627417,1.218846117775732,0.0,0.0
3,0_1_11,1.2,5.779184137284698,2.9615763495651417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1599448028354886,1.6576629848840672,0.0
3,0_1_12,1.46666666666667,4.631257709043625,2.9615763495651417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6302098701813246,0.03947148929715851
3,0_2_3,1.6,6.727786558667187,2.9073535784706626,2.1545838813544824,1.665849098842042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0_2_4,2.6,5.619819913577245,0.0,4.137523528678154,0.0,1.4822963848990902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0_2_5,2.7,4.665549812724213,0.0,2.1545838813544824,1.5060282322240592,0.0,1.0049376991456713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0_2_6,2.36666666666667,5.006708521405722,0.0,2.1545838813544824,0.0,1.351837672318179,0.0,1.5002869677330604,0.0,0.0,0.0,0.0,0.0,0.0
3,0_2_7,2.93333333333333,3.5526286202795845,0.0,2.1545838813544824,0.0,0.0,0.8811105085253523,0.0,0.5169342303997502,0.0,0.0,0.0,0.0,0.0
3,0_2_8,1.76666666666667,4.982736085019977,0.0,2.1545838813544824,0.0,0.0,0.0,1.3951128387574938,0.0,1.4330393649080009,0.0,0.0,0.0,0.0
